id,city,country,year,gross_rental_yield_centre,gross_rental_yield_out,price_to_rent_centre,price_to_rent_out,affordability_index,qol_index,ppi_index,health_care_index,traffic_commute_index,pollution_index,climate_index,crime_index,safety_index,cost_of_living_index,rent_index,groceries_index,restaurant_price_index,local_ppi_index,y
149,Tallinn,Estonia,2018,3.487,3.622,3.816,3.974,2.646,6.054,3.012,7.13,5.696,1.19,4.018,1.83,7.132,2.802,1.345,2.107,2.363,2.73,20.472
150,Amsterdam,Netherlands,2018,4.387,4.767,3.032,3.02,2.613,6.408,4.138,7.466,4.262,1.641,5.506,3.012,5.947,4.128,4.433,3.261,3.685,3.75,26.225
151,Dublin,Ireland,2018,5.227,5.588,2.546,2.577,2.336,5.258,3.585,5.282,6.134,1.92,5.457,4.53,4.426,4.165,4.731,3.423,3.702,3.249,20.043
152,Zurich,Switzerland,2018,2.425,2.705,5.482,5.322,2.924,7.237,5.807,7.706,5.5,0.875,5.19,1.701,7.262,6.542,5.036,6.969,5.255,5.262,20.175
153,Sibiu,Romania,2018,3.796,3.695,3.506,3.89,2.336,4.391,2.575,6.538,4.245,2.673,4.245,0.921,6.514,1.829,0.644,1.523,1.292,2.001,18.264
154,Madrid,Spain,2018,3.745,4.524,3.557,3.185,2.809,5.603,3.921,8.17,5.678,2.986,5.388,3.702,5.256,3.132,2.544,2.632,2.726,3.553,20.739
155,Berlin,Germany,2018,3.188,3.094,4.175,4.651,2.826,6.162,4.643,7.764,4.993,2.252,5.265,3.665,5.293,3.442,2.554,2.825,2.538,4.207,19.001
156,Sofia,Bulgaria,2018,4.499,4.556,2.957,3.158,2.27,4.493,2.468,5.416,5.098,3.422,4.715,3.989,4.968,1.997,0.987,1.723,1.333,2.237,14.652
157,Thessaloniki,Greece,2018,3.427,4.085,3.882,3.527,2.254,4.834,1.983,6.317,3.749,3.52,5.583,3.057,5.902,3.008,0.881,2.433,2.391,1.797,12.991
158,Lyon,France,2018,2.793,3.232,4.772,4.452,2.809,5.334,3.504,8.072,7.535,3.853,5.054,3.427,5.531,3.912,2.135,3.615,3.063,3.731,12.145
159,Burgas,Bulgaria,2018,3.736,3.606,3.565,3.991,2.189,4.75,2.355,6.528,4.982,3.523,5.0,3.28,5.311,1.89,0.555,1.666,1.3,1.863,13.17
160,Kosice,Slovakia,2018,4.996,4.662,2.662,3.089,2.907,5.393,2.594,5.776,5.584,2.282,4.937,2.743,6.216,2.379,1.23,2.091,1.291,2.272,20.877
161,Wroclaw,Poland,2018,4.987,5.06,2.67,2.843,2.515,4.926,3.019,5.962,5.429,3.196,4.929,3.69,5.268,2.143,1.495,1.77,1.514,2.736,19.534
162,Klaipeda,Lithuania,2018,4.036,3.582,3.296,4.016,2.94,5.9,2.223,7.233,4.097,1.346,3.805,2.593,6.013,2.412,0.884,2.024,1.804,2.158,19.246
163,Varna,Bulgaria,2018,4.396,4.353,3.026,3.307,2.287,4.526,1.954,5.984,4.735,3.513,4.818,3.73,5.4,1.957,0.663,1.751,1.349,1.786,14.308
164,Hamburg,Germany,2018,3.016,3.541,4.418,4.069,3.103,6.295,4.723,8.166,5.094,1.71,5.256,4.572,4.383,3.74,2.559,3.016,2.988,4.28,18.636
165,Stuttgart,Germany,2018,3.196,3.062,4.164,4.699,3.152,6.523,3.747,7.366,5.296,1.871,5.403,2.478,6.482,3.452,2.654,2.584,2.79,4.942,21.827
166,Osijek,Croatia,2018,3.367,3.054,3.955,4.711,2.287,5.626,2.007,6.775,4.54,1.778,5.533,3.576,6.79,2.271,0.62,1.9,1.407,2.155,15.233
167,Linz,Austria,2018,3.47,3.2,3.835,4.504,3.087,6.741,2.997,8.198,4.12,1.417,4.967,2.166,6.707,4.137,2.241,3.908,3.408,3.508,20.855
168,Copenhagen,Denmark,2018,4.002,4.15,3.329,3.467,3.201,6.898,4.611,7.61,4.754,1.276,5.296,1.93,7.032,4.521,3.857,3.605,4.693,4.178,27.138
169,Turin,Italy,2018,3.427,4.085,3.882,3.525,3.071,4.776,3.484,7.206,4.241,4.061,5.437,5.037,3.917,3.471,1.77,2.865,2.952,3.157,12.606
170,Brasov,Romania,2018,4.421,3.89,3.012,3.697,2.956,4.768,2.122,7.143,4.97,3.237,5.529,2.447,6.218,1.777,0.758,1.46,1.309,2.504,19.505
171,Edinburgh,United Kingdom,2018,3.984,4.02,3.344,3.578,3.087,6.948,4.242,8.329,3.828,1.103,5.306,2.809,6.151,3.668,2.635,3.223,3.456,3.844,26.137
172,Bergen,Norway,2018,3.667,3.671,3.629,3.924,3.136,5.675,3.92,7.147,4.871,1.209,3.089,3.637,5.321,5.202,3.069,4.733,4.63,3.661,16.094
173,Frankfurt,Germany,2018,3.042,3.371,4.376,4.271,3.414,6.565,5.809,7.108,4.12,2.212,5.317,4.074,4.883,3.782,2.862,3.109,3.142,5.264,21.076
174,Lodz,Poland,2018,5.158,4.491,2.578,3.204,3.022,4.298,2.844,6.372,5.886,3.539,3.828,4.328,4.628,2.023,0.974,1.582,1.42,2.585,16.17
175,Plovdiv,Bulgaria,2018,4.49,4.784,2.962,3.008,2.564,4.713,2.376,6.254,4.465,3.326,5.69,3.614,4.879,1.866,0.583,1.65,1.281,2.027,17.041
176,Stavanger,Norway,2018,3.522,3.216,3.778,4.472,3.593,5.895,3.69,7.902,5.74,1.345,3.23,3.73,5.228,5.493,3.033,4.933,5.556,4.357,15.118
177,Valencia,Spain,2018,4.464,4.889,2.982,2.942,3.593,6.176,3.691,8.603,4.945,2.31,5.961,3.771,5.187,2.794,1.569,2.368,2.2,3.345,24.942
178,Utrecht,Netherlands,2018,4.936,5.052,2.695,2.85,3.691,6.432,2.984,8.914,4.315,2.268,4.855,2.374,5.477,3.86,3.063,3.18,3.789,3.905,27.193
179,Brussels,Belgium,2018,4.567,4.597,2.916,3.128,3.708,5.426,4.246,8.082,5.046,3.45,5.341,4.59,4.366,3.874,2.723,3.374,3.72,3.848,20.206
180,Antwerp,Belgium,2018,4.396,4.337,3.026,3.321,3.691,5.41,3.304,7.737,6.177,3.631,5.349,3.433,5.526,4.085,2.137,3.679,3.936,3.325,18.146
181,Malaga,Spain,2018,4.55,4.743,2.923,3.034,3.871,5.004,3.355,7.857,5.284,3.156,5.608,3.924,5.033,2.651,1.613,2.275,2.14,3.493,21.786
182,Reykjavik,Iceland,2018,5.852,6.059,2.274,2.377,2.63,6.582,3.62,6.834,3.635,0.756,4.393,1.948,7.013,5.733,4.359,5.494,5.156,3.28,28.195
183,Katowice,Poland,2018,5.056,4.654,2.633,3.095,3.479,4.616,2.77,6.572,4.845,3.027,4.322,3.501,6.142,1.958,0.942,1.589,1.26,3.015,21.346
184,Rotterdam,Netherlands,2018,5.458,5.653,2.437,2.547,4.181,6.359,4.152,8.397,4.647,2.229,5.56,3.253,5.706,3.827,2.686,2.931,3.67,3.762,29.217
185,Malmo,Sweden,2018,3.993,5.1,3.335,2.822,4.786,6.373,4.471,6.873,4.632,1.064,4.543,4.48,4.476,3.695,2.175,3.423,3.392,4.459,23.858
186,Eindhoven,Netherlands,2018,5.827,5.637,2.283,2.554,4.704,7.44,4.878,8.945,4.318,1.131,5.39,2.176,6.785,3.646,2.68,2.932,3.426,4.42,36.883
187,Belgrade,Serbia,2019,2.725,3.029,4.891,4.75,1.045,4.021,1.547,5.648,5.367,3.32,5.315,3.332,5.626,1.82,0.866,1.354,1.327,1.402,6.429
188,London,United Kingdom,2019,2.528,2.745,5.264,5.243,1.16,4.494,3.775,6.995,7.268,3.252,5.574,4.605,4.35,3.77,5.332,2.828,3.327,3.421,8.742
189,Rome,Italy,2019,2.536,3.655,5.25,3.938,1.356,3.934,2.625,6.148,7.154,3.634,5.919,4.742,4.213,3.235,2.753,2.726,3.024,2.379,5.307
190,Paris,France,2019,2.236,2.104,5.952,6.836,1.421,4.473,3.633,7.714,6.59,3.691,5.583,4.654,4.302,3.903,3.503,3.565,3.346,3.292,3.683
191,Moscow,Russia,2019,3.556,3.85,3.74,3.736,0.751,3.769,2.512,5.958,8.296,3.343,3.526,3.713,5.244,1.92,2.016,1.485,1.725,2.277,9.491
192,Split,Croatia,2019,2.314,2.42,5.749,5.937,1.16,5.446,2.257,6.432,4.851,2.022,5.034,2.79,6.169,2.381,0.987,1.936,1.958,1.876,8.327
193,Lisbon,Portugal,2019,3.967,4.946,3.354,2.912,1.421,5.348,2.082,7.295,5.478,2.094,6.227,2.754,6.206,2.486,2.361,2.007,1.846,1.887,20.361
194,Prague,Czech Republic,2019,2.836,2.851,4.688,5.048,1.421,5.692,2.986,7.537,5.171,1.97,5.096,2.321,6.639,2.242,1.874,1.888,1.517,2.706,16.533
195,Milan,Italy,2019,2.639,4.11,5.037,3.5,1.519,4.563,2.803,7.326,5.778,3.459,5.566,3.974,4.983,3.364,2.881,2.796,3.177,2.54,10.938
196,Tirana,Albania,2019,3.582,4.459,3.719,3.231,1.143,3.248,1.172,5.033,6.171,4.809,5.459,3.608,5.35,1.74,0.752,1.382,1.141,1.246,7.261
197,Novi Sad,Serbia,2019,2.519,2.404,5.283,5.978,1.454,4.759,1.841,4.819,2.806,2.584,5.307,3.784,5.173,1.61,0.538,1.247,1.061,1.668,6.033
198,Munich,Germany,2019,2.176,2.25,6.126,6.395,1.699,6.74,4.49,8.316,5.125,1.204,4.799,1.519,7.444,3.398,3.272,2.7,3.027,4.069,18.787
199,Lviv,Ukraine,2019,5.15,6.075,2.585,2.368,0.523,4.125,1.289,5.802,5.516,3.046,4.397,3.439,5.519,1.247,0.709,1.029,0.782,1.168,16.21
200,Odessa (Odesa),Ukraine,2019,5.347,5.174,2.49,2.784,0.539,3.675,1.279,5.556,5.689,3.639,4.99,4.703,4.253,1.355,0.726,1.06,0.939,1.159,11.388
201,Florence,Italy,2019,2.999,3.046,4.439,4.725,1.666,4.549,2.732,6.441,5.359,3.195,5.876,4.365,4.229,3.541,2.185,3.046,3.189,2.39,7.113
202,Budapest,Hungary,2019,3.222,3.736,4.129,3.857,1.356,4.508,2.341,4.813,5.857,2.875,4.953,3.266,5.692,2.11,1.286,1.668,1.463,2.122,10.821
203,Skopje,North Macedonia,2019,3.505,3.306,3.796,4.353,1.307,3.771,1.643,6.072,4.361,4.504,4.819,4.009,4.948,1.592,0.603,1.249,1.081,1.489,7.454
204,Stockholm,Sweden,2019,2.382,2.615,5.589,5.51,1.78,5.952,4.232,7.024,5.743,0.912,4.401,4.221,4.736,3.647,3.062,3.204,3.313,3.835,11.81
205,Kiev (Kyiv),Ukraine,2019,5.981,6.684,2.226,2.153,0.555,3.737,1.587,5.553,6.129,3.664,4.418,4.294,4.662,1.402,1.1,1.114,1.011,1.438,15.64
206,Saint Petersburg,Russia,2019,4.404,4.305,3.02,3.341,0.98,3.991,2.119,6.049,7.501,3.337,3.83,3.569,5.389,1.724,1.224,1.425,1.463,1.92,12.111
207,Minsk,Belarus,2019,4.07,3.752,3.27,3.835,0.768,5.128,1.871,6.197,4.423,2.228,4.066,2.057,6.905,1.547,0.787,1.298,1.398,1.696,16.711
208,Sarajevo,Bosnia And Herzegovina,2019,3.188,3.054,4.174,4.711,1.454,3.865,1.844,5.295,4.434,3.989,4.938,4.571,4.384,1.811,0.694,1.446,1.083,1.671,5.18
209,Barcelona,Spain,2019,3.496,3.882,3.802,3.711,1.862,5.073,3.093,7.77,4.795,3.589,6.047,3.824,5.133,2.788,2.446,2.207,2.295,2.803,16.219
210,Cluj-Napoca,Romania,2019,3.967,3.606,3.354,3.995,1.617,5.545,2.206,6.747,4.204,2.137,4.696,1.893,7.069,1.751,1.014,1.476,1.278,1.999,19.509
211,Ljubljana,Slovenia,2019,2.922,2.664,4.551,5.406,1.764,6.123,2.963,6.552,3.925,1.315,4.873,2.036,6.925,2.544,1.433,2.119,1.801,2.685,16.693
212,Kharkiv,Ukraine,2019,6.169,6.644,2.159,2.168,0.588,3.647,1.255,4.587,5.886,3.473,4.128,3.988,4.969,1.266,0.666,0.967,0.835,1.137,14.828
213,Vilnius,Lithuania,2019,3.393,3.549,3.925,4.057,1.976,5.681,2.459,6.882,4.384,1.42,4.206,2.61,6.35,2.235,1.236,1.702,1.935,2.228,17.6
214,Banja Luka,Bosnia And Herzegovina,2019,2.819,2.502,4.72,5.762,1.584,4.099,1.891,6.173,4.426,4.282,5.03,3.068,5.892,1.681,0.523,1.354,0.946,1.789,6.911
215,Porto,Portugal,2019,4.704,5.239,2.827,2.745,2.025,5.558,2.165,7.604,4.434,2.009,6.102,3.709,5.249,2.361,1.751,1.933,1.665,1.962,21.641
216,Vienna,Austria,2019,2.588,3.005,5.135,4.794,2.074,6.904,3.997,8.15,3.826,0.926,5.075,2.017,6.944,3.201,2.514,2.964,2.602,3.622,21.567
217,Bratislava,Slovakia,2019,3.796,3.622,3.509,3.972,2.238,5.358,2.848,6.018,4.695,2.523,5.099,2.709,6.251,2.242,1.545,1.905,1.595,2.581,17.754
218,Helsinki,Finland,2019,2.279,2.924,5.844,4.925,2.287,6.666,4.286,7.622,4.958,0.709,3.966,2.02,6.941,3.628,2.587,2.912,3.378,3.884,18.709
219,Madrid,Spain,2019,3.522,4.378,3.782,3.286,2.123,5.391,3.239,8.102,5.446,3.068,5.399,3.145,5.814,2.801,2.399,2.238,2.339,2.935,19.509
220,Warsaw,Poland,2019,3.787,4.118,3.514,3.495,1.895,5.17,3.01,6.458,5.611,3.032,4.713,2.379,6.582,1.975,1.568,1.52,1.546,2.728,18.939
221,Cambridge,United Kingdom,2019,3.205,3.76,4.149,3.832,1.927,4.951,3.045,8.498,4.698,1.684,4.739,4.228,5.151,3.285,3.121,2.523,3.289,3.595,17.189
222,Krakow (Cracow),Poland,2019,3.933,4.045,3.386,3.557,1.911,4.82,2.821,6.431,4.743,3.839,4.665,2.58,6.38,1.872,1.295,1.489,1.298,2.557,17.527
223,Zagreb,Croatia,2019,3.23,3.2,4.124,4.5,1.895,5.795,2.63,6.753,5.216,1.771,5.168,2.176,6.785,2.368,1.099,1.985,1.666,2.384,16.982
224,Brno,Czech Republic,2019,3.59,3.574,3.711,4.032,2.27,5.886,3.06,7.858,3.862,2.464,4.938,2.392,6.568,2.13,1.374,1.815,1.415,2.773,21.147
225,Craiova,Romania,2019,3.316,3.029,4.012,4.755,1.764,4.557,2.096,5.367,4.298,3.928,4.455,2.527,6.191,1.529,0.568,1.323,0.982,2.032,11.095
226,Timisoara,Romania,2019,4.01,3.793,3.318,3.798,1.862,5.181,2.185,6.618,3.976,3.193,5.183,2.253,6.708,1.726,0.813,1.459,1.281,1.98,18.096
227,Amsterdam,Netherlands,2019,4.01,4.004,3.319,3.596,2.254,6.197,3.913,7.293,4.78,1.677,5.524,3.085,5.875,3.746,4.042,2.956,3.374,3.546,22.918
228,Constanta,Romania,2019,3.385,3.289,3.933,4.379,1.96,4.909,2.239,5.514,3.638,3.01,5.096,2.026,7.141,1.822,0.598,1.388,1.526,1.798,14.935
229,Yekaterinburg,Russia,2019,4.696,4.743,2.836,3.033,1.225,3.46,1.953,6.469,5.137,4.023,1.347,3.57,6.234,1.59,0.811,1.302,1.256,1.77,13.135
230,Dnipro,Ukraine,2019,6.229,5.304,2.136,2.712,0.702,3.373,1.418,5.022,4.984,4.466,4.391,4.015,4.342,1.33,0.574,1.056,0.941,1.285,12.295
231,Bucharest,Romania,2019,4.13,4.231,3.225,3.399,1.731,4.319,2.341,5.536,6.418,4.027,4.776,2.482,6.479,1.834,0.975,1.466,1.509,2.121,14.587
232,Frankfurt,Germany,2019,2.519,2.826,5.286,5.09,2.45,6.185,4.845,7.463,4.244,2.283,5.351,3.947,5.01,3.279,2.609,2.546,2.628,4.39,16.378
233,Oslo,Norway,2019,2.965,3.054,4.486,4.709,2.303,5.954,4.106,7.571,5.174,1.326,3.789,3.434,5.524,4.719,3.41,4.327,4.229,3.721,14.963
234,Novosibirsk,Russia,2019,5.278,5.279,2.521,2.726,1.241,3.219,1.874,6.098,7.042,3.937,1.019,4.021,4.936,1.487,0.791,1.37,1.107,1.698,11.472
235,Iasi,Romania,2019,3.95,3.825,3.369,3.764,1.944,4.821,2.18,5.978,5.168,3.293,4.614,2.276,6.685,1.671,0.724,1.389,1.24,1.976,16.119
236,Thessaloniki,Greece,2019,3.385,3.639,3.936,3.959,1.96,4.716,1.94,5.793,4.047,3.449,5.583,3.127,5.832,2.616,0.856,2.034,2.127,1.758,11.48
237,Kaunas,Lithuania,2019,3.582,3.135,3.712,4.597,2.499,5.713,2.237,7.317,4.21,1.287,2.918,3.815,5.143,2.085,0.854,1.665,1.534,2.199,14.938
238,Luxembourg,Luxembourg,2019,3.453,3.468,3.855,4.149,2.532,6.91,4.59,8.052,5.2,0.935,5.219,2.28,6.681,4.152,4.316,3.739,3.727,4.159,25.066
239,Gothenburg,Sweden,2019,2.451,2.713,5.427,5.303,2.385,6.627,4.596,7.33,3.686,1.035,4.895,3.892,5.065,3.311,2.126,3.011,2.938,4.165,16.12
240,Dublin,Ireland,2019,4.636,5.336,2.869,2.698,2.189,5.256,3.692,5.121,5.882,2.064,5.425,4.513,4.443,3.584,4.468,2.788,3.312,3.346,19.481
241,Berlin,Germany,2019,3.119,3.086,4.265,4.668,2.564,5.965,4.262,7.245,5.132,2.215,5.265,3.561,5.397,3.178,2.425,2.578,2.288,3.862,17.672
242,Oradea,Romania,2019,3.702,2.981,3.591,4.831,2.107,4.766,2.538,6.844,3.451,4.521,5.378,3.274,6.823,1.618,0.539,1.424,1.05,1.885,14.077
243,Poznan,Poland,2019,3.924,3.866,3.394,3.72,2.172,5.36,2.677,6.592,4.791,2.83,4.89,2.375,6.586,1.833,1.006,1.462,1.267,2.426,19.142
244,Bologna,Italy,2019,3.676,3.793,3.621,3.798,2.515,4.858,2.564,6.868,6.735,3.863,5.374,4.118,4.839,3.152,1.827,2.632,2.948,2.685,11.603
245,Gdansk,Poland,2019,4.139,4.183,3.217,3.442,2.172,5.893,2.944,6.239,4.353,1.558,4.77,2.842,6.117,1.929,1.257,1.483,1.33,2.668,21.426
246,Geneva,Switzerland,2019,2.862,3.046,4.646,4.722,2.662,6.717,5.142,7.209,3.834,1.605,5.218,2.495,6.465,5.505,5.109,5.394,4.763,4.66,20.512
247,Kaliningrad,Russia,2019,4.43,4.564,3.003,3.157,1.356,4.041,2.017,7.442,5.222,3.211,4.562,5.207,4.355,1.64,1.591,1.575,1.214,2.219,14.073
248,Athens,Greece,2019,4.036,3.281,3.296,4.383,1.993,4.527,2.045,5.608,5.556,3.175,6.012,4.304,4.652,2.701,0.956,2.101,2.322,1.853,9.108
249,Burgas,Bulgaria,2019,3.625,4.045,3.674,3.561,2.025,5.007,2.059,6.096,4.817,3.777,4.792,3.097,6.086,1.66,0.53,1.424,1.167,1.658,14.054
250,Leipzig,Germany,2019,2.913,2.989,4.565,4.817,2.695,6.325,4.361,8.342,5.171,1.431,3.902,4.547,5.708,3.06,1.5,2.438,2.179,2.969,16.439
251,Wroclaw,Poland,2019,4.713,4.881,2.822,2.947,2.27,5.043,2.748,6.377,5.131,3.352,4.951,2.68,6.28,1.9,1.331,1.533,1.416,2.491,20.869
252,Kosice,Slovakia,2019,4.738,4.402,2.811,3.27,2.63,5.395,2.374,5.642,5.579,2.213,5.261,2.769,6.249,2.104,1.138,1.759,1.299,2.165,19.878
253,Gdynia,Poland,2019,3.642,4.037,3.656,3.564,2.189,5.214,2.384,5.958,5.35,2.164,4.66,3.236,6.7,1.895,1.112,1.464,1.459,2.672,17.587
254,Stuttgart,Germany,2019,2.871,2.786,4.634,5.175,2.695,6.5,4.956,7.421,4.953,2.243,5.121,2.256,6.705,3.085,2.437,2.331,2.417,4.491,21.179
255,Riga,Latvia,2019,4.027,4.288,3.307,3.359,2.581,5.143,2.257,6.011,5.052,2.181,4.718,3.344,5.614,2.333,1.008,1.724,1.894,2.046,16.475
256,Nuremberg,Germany,2019,2.819,2.713,4.727,5.306,2.826,6.013,5.237,7.631,5.063,1.876,5.084,3.049,5.91,3.193,1.882,2.583,2.511,3.832,18.175
257,Hamburg,Germany,2019,3.102,3.33,4.287,4.317,2.793,6.353,4.405,8.143,4.846,1.537,5.227,4.17,4.787,3.374,2.606,2.66,2.627,3.991,19.372
258,Lyon,France,2019,2.871,3.33,4.63,4.321,2.875,5.495,3.598,8.094,6.112,2.782,5.739,3.882,5.076,3.608,1.982,3.31,2.741,3.321,14.207
259,Tallinn,Estonia,2019,3.736,3.509,3.562,4.107,2.613,6.276,3.064,7.284,4.414,1.212,4.06,1.836,7.126,2.445,1.305,1.734,2.144,2.776,22.411
260,Debrecen,Hungary,2019,4.541,4.02,2.928,3.58,2.254,4.41,2.288,4.945,6.056,2.954,4.917,3.216,5.776,1.799,0.771,1.409,1.246,1.994,14.625
261,Zurich,Switzerland,2019,2.459,2.778,5.402,5.181,2.973,7.31,5.695,7.733,5.197,0.869,5.147,1.634,7.328,5.876,4.547,5.977,4.883,5.16,21.566
262,Brasov,Romania,2019,4.327,4.012,3.076,3.589,2.646,4.355,1.953,5.487,3.201,2.93,4.619,2.103,6.858,1.734,0.773,1.42,1.264,2.241,18.587
263,Klaipeda,Lithuania,2019,3.933,3.492,3.385,4.124,2.94,5.355,2.182,7.102,3.949,1.452,3.408,2.822,5.796,2.098,0.768,1.677,1.55,2.131,17.934
264,Gent,Belgium,2019,3.41,3.322,3.903,4.335,2.94,6.03,3.666,8.632,6.665,2.457,5.604,2.229,6.732,3.414,1.867,2.764,3.237,3.323,20.053
265,Krasnodar,Russia,2019,6.212,5.799,2.142,2.483,1.47,3.859,2.636,6.143,9.909,4.127,1.471,3.41,4.672,1.454,0.715,1.229,1.221,1.674,14.12
266,Turin,Italy,2019,3.196,3.769,4.168,3.823,2.826,4.64,3.217,6.93,4.684,3.894,5.411,5.127,3.828,3.179,1.535,2.655,2.916,2.915,10.243
267,Lugano,Switzerland,2019,2.579,2.526,5.165,5.7,3.185,6.756,4.672,7.915,3.622,0.938,5.289,2.338,6.83,5.465,3.504,5.473,4.581,4.66,18.828
268,Rijeka,Croatia,2019,3.993,3.63,3.335,3.967,2.27,5.644,2.214,6.835,5.279,1.955,5.542,1.614,7.349,2.331,0.827,1.926,1.602,2.043,19.97
269,Varna,Bulgaria,2019,4.344,4.288,3.065,3.355,2.352,4.908,1.988,6.278,4.68,3.367,5.374,3.433,5.612,1.784,0.633,1.538,1.27,1.801,16.143
270,Linz,Austria,2019,3.17,3.143,4.195,4.58,2.924,6.516,3.64,8.23,3.995,1.707,4.888,2.233,6.725,3.551,1.925,3.207,3.111,3.416,20.711
271,Sofia,Bulgaria,2019,4.567,4.889,2.917,2.942,2.499,4.554,2.494,5.583,4.661,3.603,4.801,3.962,4.995,1.86,0.956,1.584,1.267,2.26,16.157
272,Copenhagen,Denmark,2019,3.899,4.24,3.413,3.394,3.022,6.956,4.449,7.951,4.465,1.17,5.289,2.132,6.829,3.918,3.622,3.039,3.968,4.032,27.881
273,Edinburgh,United Kingdom,2019,3.796,3.89,3.504,3.699,2.875,6.81,4.158,8.287,4.275,1.283,5.306,2.762,6.198,3.219,2.452,2.734,3.226,3.768,25.303
274,Lodz,Poland,2019,4.73,4.272,2.815,3.369,2.777,5.658,2.988,5.841,5.699,1.334,4.747,4.042,4.915,1.748,0.855,1.369,1.212,2.478,19.44
275,Trondheim,Norway,2019,3.196,3.801,4.164,3.784,2.956,6.193,4.16,7.769,4.55,1.278,4.735,1.999,6.962,4.574,2.832,4.181,4.334,3.972,21.877
276,Bergen,Norway,2019,3.496,3.549,3.809,4.055,3.218,5.573,4.179,7.503,4.85,1.411,3.986,2.726,6.234,4.62,2.747,4.084,4.383,3.871,19.083
277,Stavanger,Norway,2019,3.29,3.338,4.046,4.31,3.332,6.652,3.666,7.835,4.578,1.369,4.608,2.238,6.723,4.812,2.765,4.294,4.785,4.059,20.361
278,Valencia,Spain,2019,4.147,4.678,3.212,3.075,3.381,6.366,3.537,8.465,4.188,2.385,5.927,2.698,6.262,2.504,1.465,2.018,1.961,3.205,26.512
279,Plovdiv,Bulgaria,2019,4.85,4.735,2.746,3.041,2.907,4.83,2.166,6.015,4.588,3.958,5.78,3.178,5.249,1.677,0.586,1.427,1.126,1.975,18.033
280,Tampere,Finland,2019,3.308,3.598,4.025,4.006,3.985,6.671,4.593,7.9,5.336,0.682,3.702,2.022,6.004,3.537,1.908,3.12,2.969,4.069,23.902
281,Katowice,Poland,2019,5.064,4.727,2.628,3.043,3.414,5.612,2.579,5.603,4.882,3.677,4.864,2.623,6.173,1.756,0.841,1.37,1.232,2.663,21.639
282,Brussels,Belgium,2019,4.841,4.573,2.748,3.146,3.871,5.395,3.935,8.058,5.012,3.408,5.296,4.419,4.537,3.494,2.357,3.013,3.347,3.566,20.88
283,Malmo,Sweden,2019,3.984,4.475,3.34,3.215,3.691,6.082,3.656,7.041,3.877,0.947,3.787,4.692,4.263,3.253,1.939,2.929,2.949,3.742,20.442
284,Rotterdam,Netherlands,2019,5.475,5.084,2.431,2.83,3.936,6.377,4.252,8.382,4.69,2.316,5.552,3.23,5.728,3.269,2.659,2.506,2.936,3.853,29.38
285,Reykjavik,Iceland,2019,6.127,6.197,2.173,2.324,2.858,6.808,3.789,6.976,3.097,0.803,4.346,1.853,7.109,4.733,3.873,4.181,4.608,3.434,31.515
286,Antwerp,Belgium,2019,5.158,4.816,2.58,2.99,4.443,5.647,3.847,7.961,5.667,3.285,5.396,3.137,5.822,3.343,1.911,2.663,3.236,3.487,24.672
287,Eindhoven,Netherlands,2019,5.81,6.286,2.291,2.29,5.57,7.738,5.181,8.828,3.304,1.01,5.393,2.246,6.715,3.325,2.507,2.679,3.075,4.695,40.336
288,Paris,France,2020,2.168,1.9,6.151,7.564,1.258,4.18,2.896,7.953,6.58,3.614,5.583,4.63,4.325,3.944,3.577,3.673,3.149,2.624,1.069
289,Belgrade,Serbia,2020,2.631,2.883,5.068,4.998,1.029,3.908,1.463,5.458,5.514,3.426,5.315,3.344,5.614,1.809,0.906,1.28,1.313,1.326,5.177
290,London,United Kingdom,2020,2.468,2.989,5.385,4.819,1.127,4.275,3.181,7.064,6.996,3.299,5.574,4.695,4.261,3.765,5.331,2.665,3.447,2.882,7.848
291,Moscow,Russia,2020,3.333,3.728,3.994,3.864,0.686,3.665,2.127,6.297,8.134,3.262,3.526,3.627,5.331,2.207,2.39,1.659,1.89,1.928,8.453
292,Split,Croatia,2020,2.391,2.566,5.573,5.601,1.143,5.732,2.813,6.791,3.432,1.902,5.38,3.05,5.909,2.321,1.109,1.877,1.806,1.666,10.806
293,Milan,Italy,2020,2.682,3.582,4.966,4.014,1.437,4.29,2.34,7.3,5.684,3.649,5.566,3.807,5.15,3.556,3.137,2.967,3.035,2.12,8.986
294,Lisbon,Portugal,2020,3.95,4.573,3.368,3.151,1.454,5.374,1.883,7.361,5.621,1.972,6.227,2.471,6.49,2.402,2.431,1.826,1.808,1.706,20.344
295,Tirana,Albania,2020,3.487,4.329,3.818,3.323,1.143,3.242,1.266,5.033,6.171,4.801,5.459,3.508,5.45,1.79,0.773,1.404,1.148,1.06,6.911
296,Prague,Czech Republic,2020,2.896,2.851,4.601,5.055,1.421,5.631,2.702,7.574,5.023,1.989,5.096,2.192,6.769,2.271,2.019,1.841,1.515,2.449,16.563
297,Munich,Germany,2020,2.185,2.144,6.081,6.71,1.633,6.401,3.905,8.051,5.183,1.338,4.799,1.556,7.407,3.343,3.347,2.513,2.891,3.539,16.69
298,Ternopil,Ukraine,2020,3.779,3.736,3.523,3.851,0.457,3.321,1.347,5.655,6.175,2.699,3.707,4.435,4.14,1.442,0.439,1.22,0.785,0.878,5.566
299,Budapest,Hungary,2020,3.162,3.289,4.214,4.378,1.307,4.356,2.12,4.835,5.987,2.953,4.953,3.251,5.708,2.01,1.341,1.534,1.426,1.922,9.237
